
| Identificador | Nombre completo                                                                                                                           |                                   Sección                                    |
| **wrkprbf**   | Beneficios para que los padres combinen trabajo y familia, incluso si significa impuestos más altos                                       |                                  Bienestar                                   |
| **basinc**    | En contra o a favor de un plan de renta básica                                                                                            |                                  Bienestar                                   |
| **eusclbf**   | En contra o a favor de un plan de beneficios sociales a nivel de la Unión Europea                                                         |                                  Bienestar                                   |
| **eudcnbf**   | Más decisiones tomadas por la UE: el nivel de beneficios en [país] será más alto o más bajo                                               |                                  Bienestar                                   |
| **lkuemp**    | Qué tan probable es estar desempleado y buscando trabajo en los próximos 12 meses                                                         |                                  Bienestar                                   |
| **lknemny**   | Qué tan probable es no tener suficiente dinero para las necesidades del hogar en los próximos 12 meses                                    |                                  Bienestar                                   |
| **vteurmmb**  | Votaría a favor de que [país] siga siendo miembro de la Unión Europea o se vaya                                                           |                                  Bienestar                                   |
| **vteumbgb**  | Votaría a favor de que [país] siga siendo miembro de la Unión Europea o se vaya, Reino Unido                                              |                                  Bienestar                                   |
| **vteubcmb**  | Votaría a favor de que [país] se convierta en miembro de la Unión Europea o permanezca fuera                                              |                                  Bienestar                                   |
| **icpart1**   | Código del entrevistador, vive con esposo/a/pareja                                                                                        |                               Sociodemografía                                |
| **rshpsts**   | Estado de la relación con el esposo/a/pareja con quien vive actualmente                                                                   |                               Sociodemografía                                |
| **rshpsfi**   | Estado de la relación con el esposo/a/pareja con quien vive actualmente, Finlandia                                                        |                               Sociodemografía                                |
| **rshpsgb**   | Estado de la relación con el esposo/a/pareja con quien vive actualmente, Reino Unido                                                      |                               Sociodemografía                                |
| **lvgptnea**  | Alguna vez convivió con una pareja, sin estar casado                                                                                      |                               Sociodemografía                                |
| **dvrcdeva**  | Alguna vez se divorció/disolvió unión civil                                                                                               |                               Sociodemografía                                |
| **icpart2**   | Código del entrevistador, vive con esposo/a/pareja                                                                                        |                               Sociodemografía                                |
| **iccohbt**   | Código del entrevistador, el encuestado está cohabitando                                                                                  |                               Sociodemografía                                |
| **marsts**    | Estado civil legal                                                                                                                        |                               Sociodemografía                                |
| **marstfi**   | Estado civil legal, Finlandia                                                                                                             |                               Sociodemografía                                |
| **marstgb**   | Estado civil legal, Reino Unido                                                                                                           |                               Sociodemografía                                |
| **maritalb**  | Estado civil legal, post-codificado                                                                                                       |                               Sociodemografía                                |
| **chldhm**    | Hijos viviendo en casa o no                                                                                                               |                               Sociodemografía                                |
| **chldhhe**   | Alguna vez tuvo hijos viviendo en el hogar                                                                                                |                               Sociodemografía                                |
| **domicil**   | Domicilio, descripción del encuestado                                                                                                     |                               Sociodemografía                                |
| **eisced**    | Nivel de educación más alto, ES - CINE (ISCED)                                                                                            |                               Sociodemografía                                |
| **edulvlb**   | Nivel de educación más alto                                                                                                               |                               Sociodemografía                                |
| **edlveat**   | Nivel de educación más alto, Austria                                                                                                      |                               Sociodemografía                                |
| **edlvebe**   | Nivel de educación más alto, Bélgica                                                                                                      |                               Sociodemografía                                |
| **edlvdch**   | Nivel de educación más alto, Suiza                                                                                                        |                               Sociodemografía                                |
| **edlvdcz**   | Nivel de educación más alto, Chequia                                                                                                      |                               Sociodemografía                                |
| **edubde1**   | Nivel de educación más alto, Alemania: Abschluss allgemeinbildender Schulen                                                               |                               Sociodemografía                                |
| **eduade2**   | Nivel de educación más alto, Alemania: höchster Studienabschluss                                                                          |                               Sociodemografía                                |
| **eduade3**   | Nivel de educación más alto, Alemania: höchster Ausbildungsabschluss                                                                      |                               Sociodemografía                                |
| **edlvdee**   | Nivel de educación más alto, Estonia                                                                                                      |                               Sociodemografía                                |
| **edlvges**   | Nivel de educación más alto, España                                                                                                       |                               Sociodemografía                                |
| **edlvdfi**   | Nivel de educación más alto, Finlandia                                                                                                    |                               Sociodemografía                                |
| **edlvdfr**   | Nivel de educación más alto, Francia                                                                                                      |                               Sociodemografía                                |
| **edubgb1**   | Nivel de educación más alto, Reino Unido: Hasta 2 o más 'A-levels' o equivalente                                                          |                               Sociodemografía                                |
| **eduagb2**   | Nivel de educación más alto, Reino Unido: Hasta Ph.D o equivalente                                                                        |                               Sociodemografía                                |
| **edagegb**   | Edad al completar la educación a tiempo completo, Reino Unido                                                                             |                               Sociodemografía                                |
| **edlvdhu**   | Nivel de educación más alto, Hungría                                                                                                      |                               Sociodemografía                                |
| **edlvdie**   | Nivel de educación más alto, Irlanda                                                                                                      |                               Sociodemografía                                |
| **edubil1**   | Nivel de educación más alto, educación israelí, Israel                                                                                    |                               Sociodemografía                                |
| **eduail2**   | Nivel de educación más alto, educación rusa, Israel                                                                                       |                               Sociodemografía                                |
| **edlvdis**   | Nivel de educación más alto, Islandia                                                                                                     |                               Sociodemografía                                |
| **edlvdit**   | Nivel de educación más alto, Italia                                                                                                       |                               Sociodemografía                                |
| **edlvdlt**   | Nivel de educación más alto, Lituania                                                                                                     |                               Sociodemografía                                |
| **edlvenl**   | Nivel de educación más alto, Países Bajos                                                                                                 |                               Sociodemografía                                |
| **edlvdno**   | Nivel de educación más alto, Noruega                                                                                                      |                               Sociodemografía                                |
| **edlvepl**   | Nivel de educación más alto, Polonia                                                                                                      |                               Sociodemografía                                |
| **edupl2**    | Educación terciaria: nivel inferior o superior/nivel único, Polonia                                                                       |                               Sociodemografía                                |
| **edlvdpt**   | Nivel de educación más alto, Portugal                                                                                                     |                               Sociodemografía                                |
| **edlvdru**   | Nivel de educación más alto, Federación de Rusia                                                                                          |                               Sociodemografía                                |
| **edlvdse**   | Nivel de educación más alto, Suecia                                                                                                       |                               Sociodemografía                                |
| **edlvesi**   | Nivel de educación más alto, Eslovenia                                                                                                    |                               Sociodemografía                                |
| **eduyrs**    | Años de educación a tiempo completo completados                                                                                           |                               Sociodemografía                                |
| **pdwrk**     | Actividad últimos 7 días: trabajo remunerado                                                                                              |                               Sociodemografía                                |
| **edctn**     | Actividad últimos 7 días: educación                                                                                                       |                               Sociodemografía                                |
| **uempla**    | Actividad últimos 7 días: desempleado, buscando activamente trabajo                                                                       |                               Sociodemografía                                |
| **uempli**    | Actividad últimos 7 días: desempleado, no buscando activamente trabajo                                                                    |                               Sociodemografía                                |
| **dsbld**     | Actividad últimos 7 días: enfermo o discapacitado permanentemente                                                                         |                               Sociodemografía                                |
| **rtrd**      | Actividad últimos 7 días: jubilado                                                                                                        |                               Sociodemografía                                |
| **cmsrv**     | Actividad últimos 7 días: servicio comunitario o militar                                                                                  |                               Sociodemografía                                |
| **hswrk**     | Actividad últimos 7 días: tareas domésticas, cuidado de niños, otros                                                                      |                               Sociodemografía                                |
| **dngoth**    | Actividad últimos 7 días: otra                                                                                                            |                               Sociodemografía                                |
| **dngref**    | Actividad últimos 7 días: negación a responder                                                                                            |                               Sociodemografía                                |
| **dngdk**     | Actividad últimos 7 días: no sabe                                                                                                         |                               Sociodemografía                                |
| **dngna**     | Actividad últimos 7 días: sin respuesta                                                                                                   |                               Sociodemografía                                |
| **icomdng**   | Código del entrevistador, una/más de una actividad en los últimos 7 días                                                                  |                               Sociodemografía                                |
| **mainact**   | Actividad principal en los últimos 7 días                                                                                                 |                               Sociodemografía                                |
| **mnactic**   | Actividad principal, últimos 7 días. Todos los encuestados. Post-codificado                                                               |                               Sociodemografía                                |
| **icpdwrk**   | Código del entrevistador, encuestado con trabajo remunerado                                                                               |                               Sociodemografía                                |
| **crpdwk**    | Control del trabajo remunerado en los últimos 7 días                                                                                      |                               Sociodemografía                                |
| **pdjobev**   | Alguna vez tuvo un trabajo remunerado                                                                                                     |                               Sociodemografía                                |
| **pdjobyr**   | Año del último trabajo remunerado                                                                                                         |                               Sociodemografía                                |
| **emplrel**   | Relación laboral                                                                                                                          |                               Sociodemografía                                |
| **emplno**    | Número de empleados que el encuestado tiene/tuvo a su cargo                                                                               |                               Sociodemografía                                |
| **wrkctra**   | Contrato de trabajo de duración ilimitada o limitada                                                                                      |                               Sociodemografía                                |
| **estsz**     | Tamaño del establecimiento                                                                                                                |                               Sociodemografía                                |
| **jbspv**     | Responsable de supervisar a otros empleados                                                                                               |                               Sociodemografía                                |
| **njbspv**    | Número de personas a cargo en el trabajo                                                                                                  |                               Sociodemografía                                |
| **wkdcorga**  | Permiso para decidir cómo se organiza el trabajo diario                                                                                   |                               Sociodemografía                                |
| **iorgact**   | Permiso para influir en las decisiones políticas sobre las actividades de la organización                                                 |                               Sociodemografía                                |
| **wkhct**     | Horas totales contratadas por semana en el trabajo principal, sin incluir horas extra                                                     |                               Sociodemografía                                |
| **icwhct**    | Tiene un número de horas 'básico' o contratado fijo                                                                                       |                               Sociodemografía                                |
| **wkhtot**    | Horas totales normalmente trabajadas por semana en el trabajo principal, incluyendo horas extra                                           |                               Sociodemografía                                |
| **nacer2**    | Industria, NACE rev.2                                                                                                                     |                               Sociodemografía                                |
| **tporgwk**   | Tipo de organización para la que trabaja/trabajó                                                                                          |                               Sociodemografía                                |
| **isco08**    | Ocupación, CNO08 (ISCO08)                                                                                                                 |                               Sociodemografía                                |
| **wrkac6m**   | Trabajo remunerado en otro país, período superior a 6 meses en los últimos 10 años                                                        |                               Sociodemografía                                |
| **uemp3m**    | Alguna vez desempleado y buscando trabajo por un período superior a tres meses                                                            |                               Sociodemografía                                |
| **uemp12m**   | Algún período de desempleo y búsqueda de trabajo que duró 12 meses o más                                                                  |                               Sociodemografía                                |
| **uemp5yr**   | Algún período de desempleo y búsqueda de trabajo en los últimos 5 años                                                                    |                               Sociodemografía                                |
| **mbtru**     | Miembro de un sindicato u organización similar                                                                                            |                               Sociodemografía                                |
| **hincsrca**  | Fuente principal de ingresos del hogar                                                                                                    |                               Sociodemografía                                |
| **hinctnta**  | Ingreso neto total del hogar, todas las fuentes                                                                                           |                               Sociodemografía                                |
| **hincfel**   | Sentimiento acerca de los ingresos del hogar hoy en día                                                                                   |                               Sociodemografía                                |
| **icpart3**   | Código del entrevistador, vive con esposo/a/pareja                                                                                        |                               Sociodemografía                                |
| **eiscedp**   | Nivel de educación más alto de la pareja, ES - CINE (ISCED)                                                                               |                               Sociodemografía                                |
| **edulvlpb**  | Nivel de educación más alto de la pareja                                                                                                  |                               Sociodemografía                                |
| **edlvpeat**  | Nivel de educación más alto de la pareja, Austria                                                                                         |                               Sociodemografía                                |
| **edlvpebe**  | Nivel de educación más alto de la pareja, Bélgica                                                                                         |                               Sociodemografía                                |
| **edlvpdch**  | Nivel de educación más alto de la pareja, Suiza                                                                                           |                               Sociodemografía                                |
| **edlvpdcz**  | Nivel de educación más alto de la pareja, Chequia                                                                                         |                               Sociodemografía                                |
| **edupbde1**  | Nivel de educación más alto de la pareja, Alemania: Abschluss allgemeinbildender Schulen                                                  |                               Sociodemografía                                |
| **edupade2**  | Nivel de educación más alto de la pareja, Alemania: höchster Studienabschluss                                                             |                               Sociodemografía                                |
| **edupade3**  | Nivel de educación más alto de la pareja, Alemania: höchster Ausbildungsabschluss                                                         |                               Sociodemografía                                |
| **edlvpdee**  | Nivel de educación más alto de la pareja, Estonia                                                                                         |                               Sociodemografía                                |
| **edlvpfes**  | Nivel de educación más alto de la pareja, España                                                                                          |                               Sociodemografía                                |
| **edlvpdfi**  | Nivel de educación más alto de la pareja, Finlandia                                                                                       |                               Sociodemografía                                |
| **edlvpdfr**  | Nivel de educación más alto de la pareja, Francia                                                                                         |                               Sociodemografía                                |
| **edupbgb1**  | Nivel de educación más alto de la pareja, Reino Unido: Hasta 2 o más 'A-levels' o equivalente                                             |                               Sociodemografía                                |
| **edupagb2**  | Nivel de educación más alto de la pareja, Reino Unido: Hasta Ph.D o equivalente                                                           |                               Sociodemografía                                |
| **edagepgb**  | Edad de la pareja al completar la educación a tiempo completo, Reino Unido                                                                |                               Sociodemografía                                |
| **edlvpdhu**  | Nivel de educación más alto de la pareja, Hungría                                                                                         |                               Sociodemografía                                |
| **edlvpdie**  | Nivel de educación más alto de la pareja, Irlanda                                                                                         |                               Sociodemografía                                |
| **edupail2**  | Nivel de educación más alto de la pareja, educación rusa, Israel                                                                          |                               Sociodemografía                                |
| **edupbil1**  | Nivel de educación más alto de la pareja, educación israelí, Israel                                                                       |                               Sociodemografía                                |
| **edlvpdis**  | Nivel de educación más alto de la pareja, Islandia                                                                                        |                               Sociodemografía                                |
| **edlvpdit**  | Nivel de educación más alto de la pareja, Italia                                                                                          |                               Sociodemografía                                |
| **edlvpdlt**  | Nivel de educación más alto de la pareja, Lituania                                                                                        |                               Sociodemografía                                |
| **edlvpenl**  | Nivel de educación más alto de la pareja, Países Bajos                                                                                    |                               Sociodemografía                                |
| **edlvpdno**  | Nivel de educación más alto de la pareja, Noruega                                                                                         |                               Sociodemografía                                |
| **edlvpepl**  | Nivel de educación más alto de la pareja, Polonia                                                                                         |                               Sociodemografía                                |
| **eduppl2**   | Educación terciaria de la pareja: nivel inferior o superior/nivel único, Polonia                                                          |                               Sociodemografía                                |
| **edlvpdpt**  | Nivel de educación más alto de la pareja, Portugal                                                                                        |                               Sociodemografía                                |
| **edlvpdru**  | Nivel de educación más alto de la pareja, Federación de Rusia                                                                             |                               Sociodemografía                                |
| **edlvpdse**  | Nivel de educación más alto de la pareja, Suecia                                                                                          |                               Sociodemografía                                |
| **edlvpesi**  | Nivel de educación más alto de la pareja, Eslovenia                                                                                       |                               Sociodemografía                                |
| **pdwrkp**    | Actividad de la pareja últimos 7 días: trabajo remunerado                                                                                 |                               Sociodemografía                                |
| **edctnp**    | Actividad de la pareja últimos 7 días: educación                                                                                          |                               Sociodemografía                                |
| **uemplap**   | Actividad de la pareja últimos 7 días: desempleado, buscando activamente trabajo                                                          |                               Sociodemografía                                |
| **uemplip**   | Actividad de la pareja últimos 7 días: desempleado, no buscando activamente trabajo                                                       |                               Sociodemografía                                |
| **dsbldp**    | Actividad de la pareja últimos 7 días: enfermo o discapacitado permanentemente                                                            |                               Sociodemografía                                |
| **rtrdp**     | Actividad de la pareja últimos 7 días: jubilado                                                                                           |                               Sociodemografía                                |
| **cmsrvp**    | Actividad de la pareja últimos 7 días: servicio comunitario o militar                                                                     |                               Sociodemografía                                |
| **hswrkp**    | Actividad de la pareja últimos 7 días: tareas domésticas, cuidado de niños, otros                                                         |                               Sociodemografía                                |
| **dngothp**   | Actividad de la pareja últimos 7 días: otra                                                                                               |                               Sociodemografía                                |
| **dngnapp**   | Actividad de la pareja últimos 7 días: no aplicable                                                                                       |                               Sociodemografía                                |
| **dngrefp**   | Actividad de la pareja últimos 7 días: negación a responder                                                                               |                               Sociodemografía                                |
| **dngdkp**    | Actividad de la pareja últimos 7 días: no sabe                                                                                            |                               Sociodemografía                                |
| **dngnap**    | Actividad de la pareja últimos 7 días: sin respuesta                                                                                      |                               Sociodemografía                                |
| **icomdnp**   | Código del entrevistador, una/más de una actividad de la pareja en los últimos 7 días                                                     |                               Sociodemografía                                |
| **mnactp**    | Actividad principal de la pareja en los últimos 7 días                                                                                    |                               Sociodemografía                                |
| **icppdwk**   | Código del entrevistador, pareja del encuestado con trabajo remunerado                                                                    |                               Sociodemografía                                |
| **crpdwkp**   | Pareja, control del trabajo remunerado en los últimos 7 días                                                                              |                               Sociodemografía                                |
| **isco08p**   | Ocupación de la pareja, CNO08 (ISCO08)                                                                                                    |                               Sociodemografía                                |
| **emprelp**   | Relación laboral de la pareja                                                                                                             |                               Sociodemografía                                |
| **wkhtotp**   | Horas normalmente trabajadas por semana en el trabajo principal, incluyendo horas extra, pareja                                           |                               Sociodemografía                                |
| **eiscedf**   | Nivel de educación más alto del padre, ES - CINE (ISCED)                                                                                  |                               Sociodemografía                                |
| **edulvlfb**  | Nivel de educación más alto del padre                                                                                                     |                               Sociodemografía                                |
| **edlvfeat**  | Nivel de educación más alto del padre, Austria                                                                                            |                               Sociodemografía                                |
| **edlvfebe**  | Nivel de educación más alto del padre, Bélgica                                                                                            |                               Sociodemografía                                |
| **edlvfdch**  | Nivel de educación más alto del padre, Suiza                                                                                              |                               Sociodemografía                                |
| **edlvfdcz**  | Nivel de educación más alto del padre, Chequia                                                                                            |                               Sociodemografía                                |
| **edufbde1**  | Nivel de educación más alto del padre, Alemania: Abschluss allgemeinbildender Schulen                                                     |                               Sociodemografía                                |
| **edufade2**  | Nivel de educación más alto del padre, Alemania: höchster Studienabschluss                                                                |                               Sociodemografía                                |
| **edufade3**  | Nivel de educación más alto del padre, Alemania: höchster Ausbildungsabschluss                                                            |                               Sociodemografía                                |
| **edlvfdee**  | Nivel de educación más alto del padre, Estonia                                                                                            |                               Sociodemografía                                |
| **edlvffes**  | Nivel de educación más alto del padre, España                                                                                             |                               Sociodemografía                                |
| **edlvfdfi**  | Nivel de educación más alto del padre, Finlandia                                                                                          |                               Sociodemografía                                |
| **edlvfdfr**  | Nivel de educación más alto del padre, Francia                                                                                            |                               Sociodemografía                                |
| **edufbgb1**  | Nivel de educación más alto del padre, Reino Unido: Hasta 2 o más 'A-levels' o equivalente                                                |                               Sociodemografía                                |
| **edufagb2**  | Nivel de educación más alto del padre, Reino Unido: Hasta Ph.D o equivalente                                                              |                               Sociodemografía                                |
| **edagefgb**  | Edad del padre al completar la educación a tiempo completo, Reino Unido                                                                   |                               Sociodemografía                                |
| **edlvfdhu**  | Nivel de educación más alto del padre, Hungría                                                                                            |                               Sociodemografía                                |
| **edlvfdie**  | Nivel de educación más alto del padre, Irlanda                                                                                            |                               Sociodemografía                                |
| **edufbil1**  | Nivel de educación más alto del padre, educación israelí, Israel                                                                          |                               Sociodemografía                                |
| **edufail2**  | Nivel de educación más alto del padre, educación rusa, Israel                                                                             |                               Sociodemografía                                |
| **edlvfdis**  | Nivel de educación más alto del padre, Islandia                                                                                           |                               Sociodemografía                                |
| **edlvfdit**  | Nivel de educación más alto del padre, Italia                                                                                             |                               Sociodemografía                                |
| **edlvfdlt**  | Nivel de educación más alto del padre, Lituania                                                                                           |                               Sociodemografía                                |
| **edlvfenl**  | Nivel de educación más alto del padre, Países Bajos                                                                                       |                               Sociodemografía                                |
| **edlvfdno**  | Nivel de educación más alto del padre, Noruega                                                                                            |                               Sociodemografía                                |
| **edlvfepl**  | Nivel de educación más alto del padre, Polonia                                                                                            |                               Sociodemografía                                |
| **edlvfdpt**  | Nivel de educación más alto del padre, Portugal                                                                                           |                               Sociodemografía                                |
| **edlvfdru**  | Nivel de educación más alto del padre, Federación de Rusia                                                                                |                               Sociodemografía                                |
| **edlvfdse**  | Nivel de educación más alto del padre, Suecia                                                                                             |                               Sociodemografía                                |
| **edlvfesi**  | Nivel de educación más alto del padre, Eslovenia                                                                                          |                               Sociodemografía                                |
| **emprf14**   | Estado laboral del padre cuando el encuestado tenía 14 años                                                                               |                               Sociodemografía                                |
| **occf14b**   | Ocupación del padre cuando el encuestado tenía 14 años                                                                                    |                               Sociodemografía                                |
| **eiscedm**   | Nivel de educación más alto de la madre, ES - CINE (ISCED)                                                                                |                               Sociodemografía                                |
| **edulvlmb**  | Nivel de educación más alto de la madre                                                                                                   |                               Sociodemografía                                |
| **edlvmeat**  | Nivel de educación más alto de la madre, Austria                                                                                          |                               Sociodemografía                                |
| **edlvmebe**  | Nivel de educación más alto de la madre, Bélgica                                                                                          |                               Sociodemografía                                |
| **edlvmdch**  | Nivel de educación más alto de la madre, Suiza                                                                                            |                               Sociodemografía                                |
| **edlvmdcz**  | Nivel de educación más alto de la madre, Chequia                                                                                          |                               Sociodemografía                                |
| **edumbde1**  | Nivel de educación más alto de la madre, Alemania: Abschluss allgemeinbildender Schulen                                                   |                               Sociodemografía                                |
| **edumade2**  | Nivel de educación más alto de la madre, Alemania: höchster Studienabschluss                                                              |                               Sociodemografía                                |
| **edumade3**  | Nivel de educación más alto de la madre, Alemania: höchster Ausbildungsabschluss                                                          |                               Sociodemografía                                |
| **edlvmdee**  | Nivel de educación más alto de la madre, Estonia                                                                                          |                               Sociodemografía                                |
| **edlvmfes**  | Nivel de educación más alto de la madre, España                                                                                           |                               Sociodemografía                                |
| **edlvmdfi**  | Nivel de educación más alto de la madre, Finlandia                                                                                        |                               Sociodemografía                                |
| **edlvmdfr**  | Nivel de educación más alto de la madre, Francia                                                                                          |                               Sociodemografía                                |
| **edumbgb1**  | Nivel de educación más alto de la madre, Reino Unido: Hasta 2 o más 'A-levels' o equivalente                                              |                               Sociodemografía                                |
| **edumagb2**  | Nivel de educación más alto de la madre, Reino Unido: Hasta Ph.D o equivalente                                                            |                               Sociodemografía                                |
| **edagemgb**  | Edad de la madre al completar la educación a tiempo completo, Reino Unido                                                                 |                               Sociodemografía                                |
| **edlvmdhu**  | Nivel de educación más alto de la madre, Hungría                                                                                          |                               Sociodemografía                                |
| **edlvmdie**  | Nivel de educación más alto de la madre, Irlanda                                                                                          |                               Sociodemografía                                |
| **edumbil1**  | Nivel de educación más alto de la madre, educación israelí, Israel                                                                        |                               Sociodemografía                                |
| **edumail2**  | Nivel de educación más alto de la madre, educación rusa, Israel                                                                           |                               Sociodemografía                                |
| **edlvmdis**  | Nivel de educación más alto de la madre, Islandia                                                                                         |                               Sociodemografía                                |
| **edlvmdit**  | Nivel de educación más alto de la madre, Italia                                                                                           |                               Sociodemografía                                |
| **edlvmdlt**  | Nivel de educación más alto de la madre, Lituania                                                                                         |                               Sociodemografía                                |
| **edlvmenl**  | Nivel de educación más alto de la madre, Países Bajos                                                                                     |                               Sociodemografía                                |
| **edlvmdno**  | Nivel de educación más alto de la madre, Noruega                                                                                          |                               Sociodemografía                                |
| **edlvmepl**  | Nivel de educación más alto de la madre, Polonia                                                                                          |                               Sociodemografía                                |
| **edlvmdpt**  | Nivel de educación más alto de la madre, Portugal                                                                                         |                               Sociodemografía                                |
| **edlvmdru**  | Nivel de educación más alto de la madre, Federación de Rusia                                                                              |                               Sociodemografía                                |
| **edlvmdse**  | Nivel de educación más alto de la madre, Suecia                                                                                           |                               Sociodemografía                                |
| **edlvmesi**  | Nivel de educación más alto de la madre, Eslovenia                                                                                        |                               Sociodemografía                                |
| **emprm14**   | Estado laboral de la madre cuando el encuestado tenía 14 años                                                                             |                               Sociodemografía                                |
| **occm14b**   | Ocupación de la madre cuando el encuestado tenía 14 años                                                                                  |                               Sociodemografía                                |
| **atncrse**   | Mejorar conocimientos/habilidades: curso/conferencia/clase, últimos 12 meses                                                              |                               Sociodemografía                                |
| **anctry1**   | Primera ascendencia, Clasificación Estándar Europea de Grupos Culturales y Étnicos                                                        |                               Sociodemografía                                |
| **anctry2**   | Segunda ascendencia, Clasificación Estándar Europea de Grupos Culturales y Étnicos                                                        |                               Sociodemografía                                |
| **region**    | Región                                                                                                                                    |                               Sociodemografía                                |
| **regunit**   | Unidad regional                                                                                                                           |                               Sociodemografía                                |
| **intewde**   | Lugar de la entrevista: Alemania Oriental, Occidental                                                                                     |                               Sociodemografía                                |
| **ipcrtiv**   | Importante pensar nuevas ideas y ser **creativo**                                                                                         |                               Valores humanos                                |
| **imprich**   | Importante ser **rico**, tener dinero y cosas caras                                                                                       |                               Valores humanos                                |
| **ipeqopt**   | Importante que la gente sea tratada **igual** y tenga **igualdad de oportunidades**                                                       |                               Valores humanos                                |
| **ipshabt**   | Importante **mostrar habilidades** y ser admirado                                                                                         |                               Valores humanos                                |
| **impsafe**   | Importante vivir en un **entorno seguro y protegido**                                                                                     |                               Valores humanos                                |
| **impdiff**   | Importante probar **cosas nuevas y diferentes** en la vida                                                                                |                               Valores humanos                                |
| **ipfrule**   | Importante hacer lo que se dice y **seguir las reglas**                                                                                   |                               Valores humanos                                |
| **ipudrst**   | Importante **entender a diferentes personas**                                                                                             |                               Valores humanos                                |
| **ipmodst**   | Importante ser **humilde y modesto**, no llamar la atención                                                                               |                               Valores humanos                                |
| **ipgdtim**   | Importante **pasarlo bien**                                                                                                               |                               Valores humanos                                |
| **impfree**   | Importante **tomar decisiones propias y ser libre**                                                                                       |                               Valores humanos                                |
| **iphlppl**   | Importante **ayudar a las personas** y preocuparse por el bienestar de los demás                                                          |                               Valores humanos                                |
| **ipsuces**   | Importante tener **éxito** y que la gente reconozca los logros                                                                            |                               Valores humanos                                |
| **ipstrgv**   | Importante que el **gobierno sea fuerte** y garantice la seguridad                                                                        |                               Valores humanos                                |
| **ipadvnt**   | Importante buscar **aventuras** y tener una vida emocionante                                                                              |                               Valores humanos                                |
| **ipbhprp**   | Importante **comportarse apropiadamente**                                                                                                 |                               Valores humanos                                |
| **iprspot**   | Importante **obtener respeto** de los demás                                                                                               |                               Valores humanos                                |
| **iplylfr**   | Importante ser **leal a los amigos** y dedicarse a las personas cercanas                                                                  |                               Valores humanos                                |
| **impenv**    | Importante **cuidar la naturaleza y el medio ambiente**                                                                                   |                               Valores humanos                                |
| **imptrad**   | Importante **seguir las tradiciones** y costumbres                                                                                        |                               Valores humanos                                |
| **impfun**    | Importante buscar la **diversión** y cosas que den placer                                                                                 |                               Valores humanos                                |
